index,car_ID,cylindernumber,carvolume,enginepower,averagempg,price
0,1,0,19644.653442622952,250360500.0,23.700000000000003,13495.0
1,2,0,19644.653442622952,250360500.0,23.700000000000003,16500.0
2,3,1,20223.0,313667200.0,22.150000000000002,16500.0
3,4,0,21487.178931860035,195065310.0,26.700000000000003,13950.0
4,5,1,21465.713738489874,274403800.0,19.8,17450.0
5,6,1,22093.182711864403,262473200.0,21.700000000000003,15250.0
7,8,1,26134.271526032317,262473200.0,21.700000000000003,18920.0
8,9,1,26040.76787119857,315723100.0,18.35,23875.0
9,10,1,23152.463653846156,360826400.0,18.700000000000003,17859.167
10,11,0,21351.96994475138,221432400.0,25.700000000000003,16430.0
11,12,0,21351.96994475138,221432400.0,25.700000000000003,16925.0
12,13,1,21351.96994475138,279155470.0,24.15,20970.0
13,14,1,21351.96994475138,279155470.0,24.15,21105.0
19,20,0,18019.041923076922,103080600.0,40.25,6295.0
20,21,0,18354.226153846153,103080600.0,40.25,6575.0
21,22,0,18510.803897637797,99970200.0,38.8,5572.0
22,23,0,18510.803897637797,99970200.0,34.150000000000006,6377.0
23,24,0,18510.803897637797,166583340.0,26.700000000000003,7957.0
24,25,0,18583.969130434783,99970200.0,34.150000000000006,6229.0
25,26,0,18583.969130434783,99970200.0,34.150000000000006,6692.0
26,27,0,18583.969130434783,99970200.0,34.150000000000006,7609.0
27,28,0,18583.969130434783,166583340.0,26.700000000000003,8558.0
28,29,0,19483.900133779258,179291200.0,26.700000000000003,8921.0
29,30,0,21936.95306772908,407160000.0,21.25,12964.0
31,32,0,15751.551259842518,122080320.0,34.150000000000006,6855.0
32,33,0,17101.140684410646,75863700.0,39.800000000000004,5399.0
33,34,0,17101.140684410646,122080320.0,31.8,6529.0
34,35,0,17101.140684410646,122080320.0,31.8,7129.0
35,36,0,18516.667889908258,122080320.0,31.8,7295.0
36,37,0,16616.35651801029,122499840.0,31.8,7295.0
37,38,0,19772.542213883677,172834200.0,29.700000000000003,7895.0
38,39,0,19772.542213883677,172834200.0,29.700000000000003,9095.0
39,40,0,20398.92273567468,172834200.0,29.700000000000003,8845.0
40,41,0,19554.182070240295,172834200.0,29.700000000000003,10295.0
41,42,0,20398.92273567468,202979700.0,25.8,12945.0
42,43,0,21117.605882352946,190575000.0,27.700000000000003,10345.0
43,44,0,18594.303140186912,137558304.0,26.25,6785.0
44,45,0,18019.041923076922,103080600.0,40.25,8916.5
45,46,0,18019.041923076922,103080600.0,40.25,8916.5
46,47,0,21018.24747081712,183676500.0,26.25,11048.0
47,48,1,29731.32727272727,782947440.0,16.8,32250.0
48,49,1,29731.32727272727,782947440.0,16.8,35550.0
50,51,0,17577.520924214416,93748200.0,30.450000000000003,5195.0
